post_created_time,post_title,post_type,post_shares,post_like,post_love,post_wow,post_haha,post_sad,post_angry,post_thankful
2021-01-15T05:15:43+0000,,photo,0,1,0,0,0,0,0,0
2021-01-15T05:00:00+0000,"[괴물] 티저🦠 신하균x여진구, '만양'에서 만난 두 남자의 이야기 〈괴물〉 2월 첫 방송!",video_inline,0,5,0,0,0,0,0,0
2021-01-15T04:00:01+0000,[비긴어게인 오픈마이크] 이하이(LeeHi) 잔나비(JANNABI)의 첫 듀엣곡 '사랑하기 때문에'♬,video_inline,0,31,7,1,0,0,0,0
2021-01-15T03:00:00+0000,현재 이 콘텐츠를 이용할 수 없습니다,native_templates,0,10,3,1,0,0,0,0
2021-01-15T02:00:01+0000,[런 온] (드디어 1일🎉) 서로의 진심이 통한 임시완💗신세경의 입맞춤｜JTBC 210114 방송,video_inline,0,19,1,0,0,0,0,0
2021-01-14T09:00:00+0000,[10회 예고] 오미주 씨의 감정이 연애 감정은 맞나? 나는 그런데..,video_inline,0,58,11,1,0,0,0,0
2021-01-14T06:00:01+0000,"[아는 형님-형.친.소] ♨️열정 가득♨️ 뜨거운 전학생들, 유노윤호 x 딘딘이 형님 학교에 전학 왔습니다~",video_inline,0,61,21,1,0,0,0,0
2021-01-14T05:00:01+0000,[허쉬] 7화 메이킹 | H.U.S.H 팀의 저 세상 맛🤯 체험기,video_inline,0,18,3,0,0,0,0,0
2021-01-14T04:00:00+0000,"[선배, 그 립스틱 바르지 마요] 메이킹💕 난이도 극상♨️ 원진아 X 로운의 '밸런스 게임' 둘 중 하나만 PICK!",video_inline,0,37,0,0,0,0,0,0
2021-01-14T03:00:02+0000,[런 온] Jtalk 인터뷰_겸미커플 편💕 임시완X신세경의 대유잼 밸런스 게임 (ft. 런 온 키워드),video_inline,0,54,4,1,0,0,0,0
2021-01-14T02:00:00+0000,"[런 온] 임시완의 직진 고백 ＂나 계속하고 있어요, 좋아해 달라면서요··＂｜JTBC 210113 방송",video_inline,0,39,2,1,0,0,0,0
2021-01-13T09:00:00+0000,"[9회 예고] 나, 계속 그거 하고 있어요. 좋아해 달라면서요...",video_inline,0,80,8,1,0,0,0,0
2021-01-13T08:49:41+0000,,photo,0,26,2,0,0,0,0,0
2021-01-13T04:00:00+0000,[런 온] 단화ON🔴코멘터리🏃 단화 커플의 이야기는 여기서부터 시작입니다❤️ 최수영X강태오의 7-8회 코멘터리!,video_inline,0,39,4,0,0,0,0,0
2021-01-13T03:00:00+0000,"[선배, 그 립스틱 바르지 마요] 메이킹💄 자아 혼동이 온 캐릭터 인터뷰!💜 #08호 의식의 흐름샤랄라",video_inline,0,48,4,1,0,0,0,0
2021-01-13T02:00:00+0000,[배달가요-신비한 레코드샵] 티저🎵 사연을 보내주시면 노래를 배달해드립니다💨 1월 22일 (금) 9시 첫 방송,video_inline,0,33,4,0,0,0,0,0
2021-01-12T09:30:00+0000,[허쉬] 메이킹💕 사직서에 싸늘해진 준혁💦과 지수🤨의 비하인드  | <허쉬> 6화 메이킹,video_inline,0,22,3,0,0,0,0,0
2021-01-12T09:00:01+0000,[라이브온] 최종회 예고,video_inline,0,82,18,1,0,0,0,0
2021-01-12T07:00:00+0000,[런 온] 메이킹💕 '박력' 신세경에 심쿵한 임시완🧡 영화관부터 뒷풀이까지 8회 비하인드!,video_inline,0,51,8,1,0,0,0,0
2021-01-12T03:00:02+0000,[런 온] 메이킹/셀프캠💕 제주도에서 제일 예쁜 건 '신세경'이라 답한 임시완! 제주도 셀프캠 Ep.3 겸미커플🧡,video_inline,0,76,10,1,0,0,0,0
2021-01-12T02:10:00+0000,[싱어게인] (단체 소름😱) 내한 공연을 보는 듯한 29호 가수의 〈못다핀 꽃한송이〉♬｜JTBC 210111 방송,video_inline,0,733,18,3,0,1,0,0
2021-01-11T06:00:00+0000,"[선배, 그 립스틱 바르지 마요] 단독 하이라이트💕 ""더는 못 참겠어요 이제, 지키고 싶으니까"" | 2021년 1월 18일(월) 첫 방송!",video_inline,0,138,16,1,0,0,0,0
2021-01-11T05:00:00+0000,[뭉쳐야 찬다] 골대 구석을 노리고 정확히 들어가는 이대훈 쐐기 골⚽｜JTBC 210110 방송,video_inline,0,62,3,1,0,0,0,0
2021-01-11T04:00:00+0000,[아는 형님] SM 신인 걸그룹 '에스파' 뮤비에 출연한 장윤주 (블랙맘바🐍)｜JTBC 210109 방송,video_inline,0,211,7,0,0,0,0,0
2021-01-11T03:30:00+0000,[1호가 될 순 없어] 사돈 조작단 결성?! 짓궃은 이용식-임미숙의 동영 몰이 //_//｜JTBC 210110 방송,video_inline,0,316,3,0,19,0,1,0
2021-01-11T03:00:00+0000,[허쉬] 황정민이 마주친 낯익은 여인의 정체 = 매일한국 사장의 조카...!｜JTBC 210109 방송,video_inline,0,24,2,0,0,0,0,0
2021-01-11T02:00:00+0000,[갬성캠핑] 에필로그😢 캠퍼들의 마지막 밤💫 ＂우린 계속 볼 거니까…＂｜JTBC 210108 방송,video_inline,0,56,6,1,0,0,0,0
